Plant line,Date,Time,Digital biomass,Greenness,Plant height,Hue,Leaf angle,Leaf area,Leaf area index,Projected leaf area,Leaf inclination,Light penetration depth,NDVI,NPCI,PSRI
10-05-01 AM,2019_6_19,11-52-15 AM,5199150,0.34285,289.064,104.513,54.485,17986.2,0.112,14647.7,1.22853,161.701,0.63671,0.2203,0.07013
10-05-01 AM,2019_6_20,11-52-19 AM,6984250,0.35368,310.896,103.738,54.104,22464.9,0.14,18122.5,1.23443,174.414,0.64101,0.23763,0.07289
10-05-01 AM,2019_6_21,11-52-23 AM,12435000,0.34281,377.995,104.183,62.083,32897.3,0.206,28727.6,1.13169,228.105,0.6291,0.20556,0.07142
10-05-01 AM,2019_6_22,11-52-27 AM,14633500,0.35442,383.69,104.817,56.617,38138.9,0.238,31410.5,1.19758,157.119,0.63498,0.21912,0.07191
10-05-01 AM,2019_6_23,11-52-31 AM,18488300,0.37305,403.762,104.235,59.478,45790,0.286,39184.9,1.16084,146.768,0.64402,0.22886,0.07238
10-05-01 AM,2019_6_24,10-50-58 AM,26152700,0.36336,456.22,103.05,63.032,57324.8,0.358,50333.5,1.122,134.099,0.63849,0.22958,0.07395
10-05-01 AM,2019_6_25,10-50-17 AM,24524200,0.3634,498.616,105.326,61.876,49184.5,0.307,42530.6,1.13387,166.507,0.63465,0.20141,0.06824
10-05-01 AM,2019_6_26,10-50-21 AM,35455500,0.37679,555.929,104.506,60.287,63777,0.399,55338.3,1.15137,176.847,0.63407,0.2128,0.07324
10-05-01 AM,2019_6_27,12-28-26 PM,41364800,0.37108,614.949,104.774,65.134,67265.4,0.42,60718.8,1.10217,187.45,0.64168,0.19048,0.06659
10-05-01 AM,2019_6_28,12-28-08 PM,38681500,0.36521,587.38,104.596,60.946,65854.3,0.412,57073.4,1.14394,157.845,0.65684,0.19094,0.06228
10-05-01 AM,2019_6_29,12-28-12 PM,30979000,0.34927,597.756,105.355,66.354,51825.4,0.324,47280.1,1.09165,147.807,0.6556,0.17159,0.05682
10-05-01 AM,2019_6_30,12-28-15 PM,32923400,0.35851,608.554,105.595,62.543,54100.9,0.338,47960.4,1.12693,172.884,0.6709,0.1831,0.05488
10-05-01 AM,2019_7_1,12-28-20 PM,19519600,0.34185,607.225,107.472,65.644,32145.5,0.201,29273.2,1.09769,68.173,0.66489,0.15108,0.04811
10-05-01 AM,2019_7_2,12-28-23 PM,25520700,0.3494,598.795,103.766,63.426,42620.1,0.266,37554,1.11811,143.332,0.6608,0.19706,0.0609
10-05-01 AM,2019_7_3,11-56-11 AM,27882100,0.32361,608.513,103.134,65.827,45820.1,0.286,41323.1,1.09611,136.461,0.64873,0.18633,0.05909
10-06-01 AM,2019_6_8,11-43-43 AM,490926,0.35584,127.097,106.601,60.011,3862.6,0.024,3347.03,1.15456,15.452,0.65215,0.20761,0.06433
10-06-01 AM,2019_6_9,11-43-47 AM,729708,0.33889,130.743,107.795,59.419,5581.25,0.035,4806.63,1.16155,65.377,0.64475,0.18871,0.06245
10-06-01 AM,2019_6_10,11-43-51 AM,1039510,0.38028,142.977,103.637,64.511,7270.5,0.045,6563.56,1.10782,16.297,0.65864,0.25283,0.07594
10-06-01 AM,2019_6_11,11-43-55 AM,1342800,0.34083,153.183,106.004,63.174,8766.02,0.055,7829.36,1.12059,24.611,0.64471,0.19661,0.06442
10-06-01 AM,2019_6_12,11-43-58 AM,1612610,0.36693,168.56,104.05,64.415,9566.97,0.06,8638.69,1.1087,28.776,0.65866,0.23524,0.07078
10-06-01 AM,2019_6_13,11-44-02 AM,1941130,0.33522,185.206,107.348,62.538,10480.9,0.066,9300.53,1.12699,42.806,0.65511,0.18015,0.05701
10-06-01 AM,2019_6_14,11-44-06 AM,2507340,0.33289,213.111,105.246,64.271,11765.4,0.074,10587.5,1.11005,76.141,0.65054,0.19899,0.06361
10-06-01 AM,2019_6_15,11-44-09 AM,2478610,0.32673,217.623,106.673,53.987,11389.5,0.071,9205.06,1.23626,112.286,0.64222,0.1869,0.06333
10-06-01 AM,2019_6_16,11-44-14 AM,3441740,0.3362,248.86,105.998,50.695,13830,0.086,10682.8,1.29233,125.1,0.64389,0.20371,0.06464
10-06-01 AM,2019_6_17,11-44-17 AM,4078250,0.33251,258.072,106.451,52.891,15802.8,0.099,12601.2,1.25392,128.992,0.63923,0.19649,0.06468
10-06-01 AM,2019_6_18,11-44-21 AM,4957500,0.33515,273.615,105.608,55.906,18118.6,0.113,14978.8,1.20754,133.374,0.63386,0.2051,0.07051
10-06-01 AM,2019_6_19,11-52-15 AM,6918640,0.34076,314.753,105.541,59.489,21981.2,0.137,18892.3,1.16072,187.968,0.63675,0.20017,0.06922
10-06-01 AM,2019_6_20,11-52-19 AM,8395560,0.35529,343.748,104.697,60.334,24423.6,0.153,21170.3,1.15084,207.906,0.64585,0.21526,0.06934
10-06-01 AM,2019_6_21,11-52-23 AM,10710200,0.34688,370.237,105.178,65.231,28928.1,0.181,26285.5,1.10131,195.054,0.63045,0.19672,0.0696
10-06-01 AM,2019_6_22,11-52-27 AM,13669600,0.34222,386.704,105.597,64.504,35349,0.221,31703.8,1.10789,219.659,0.62574,0.19147,0.06736
10-06-01 AM,2019_6_23,11-52-31 AM,19650400,0.36668,469.543,104.429,62.979,41850.1,0.262,37105.7,1.12253,232.968,0.63747,0.21668,0.07251
10-06-01 AM,2019_6_24,10-50-58 AM,20537600,0.39104,442.46,102.76,58.451,46416.9,0.29,39366.1,1.17343,194.861,0.6534,0.26152,0.08096
10-06-01 AM,2019_6_25,10-50-17 AM,29118800,0.35204,504.508,104.967,62.901,57717.2,0.361,50519.6,1.12331,274.102,0.63001,0.19697,0.06992
10-06-01 AM,2019_6_26,10-50-21 AM,38312500,0.36434,565.25,104.201,62.305,67779.7,0.424,59621.4,1.12938,274.84,0.62988,0.20854,0.07343
10-06-01 AM,2019_6_27,12-28-26 PM,41504000,0.36777,586.766,104.886,64.926,70733.5,0.442,62523,1.10404,255.861,0.6465,0.19975,0.06614
10-06-01 AM,2019_6_28,12-28-08 PM,40261800,0.37535,610.555,105.649,62.834,65942.9,0.412,58285.2,1.12398,229.232,0.66311,0.19312,0.06028
10-06-01 AM,2019_6_29,12-28-12 PM,35532100,0.36152,607.202,105.523,63.037,58517.8,0.366,51364.8,1.12195,134.541,0.65218,0.18233,0.05963
10-06-01 AM,2019_6_30,12-28-15 PM,24735100,0.37073,612.049,105.59,59.536,40413.6,0.253,34644.5,1.16015,223.931,0.66854,0.19469,0.05965
10-06-01 AM,2019_7_1,12-28-20 PM,21051700,0.38213,618.505,104.437,61.118,34036.5,0.213,29320.7,1.14205,223.995,0.66728,0.21947,0.0667
10-06-01 AM,2019_7_2,12-28-23 PM,23608800,0.37916,623.458,105.317,62.95,37867.5,0.237,33223.8,1.12282,178.341,0.6742,0.19888,0.0599
10-06-01 AM,2019_7_3,11-56-11 AM,28634300,0.36659,621.367,103.658,67.004,46082.8,0.288,42020.8,1.08633,145.758,0.64471,0.20001,0.07056
10-07-01 AM,2019_6_8,11-43-43 AM,1431340,0.3601,165.457,105.043,60.294,8650.81,0.054,7515.79,1.1513,27.138,0.6392,0.22005,0.07421
10-07-01 AM,2019_6_9,11-43-47 AM,1931760,0.33288,185.447,106.439,50.384,10416.8,0.065,8038.25,1.29811,29.794,0.63042,0.19572,0.06935
10-07-01 AM,2019_6_10,11-43-51 AM,2368870,0.36997,193.586,104.057,67.329,12236.8,0.076,11285.2,1.08373,26.911,0.65755,0.22802,0.07155
10-07-01 AM,2019_6_11,11-43-55 AM,2831380,0.33435,207.592,106.962,60.652,13639.2,0.085,11890.9,1.14723,30.334,0.65334,0.1815,0.05826
10-07-01 AM,2019_6_12,11-43-58 AM,3109600,0.36198,216.059,104.742,61.363,14392.4,0.09,12639.6,1.13937,43.105,0.67565,0.22851,0.06421
10-07-01 AM,2019_6_13,11-44-02 AM,3552710,0.33407,232.53,106.841,63.812,15278.5,0.095,13702.9,1.11438,64.352,0.65436,0.18085,0.05793
10-07-01 AM,2019_6_14,11-44-06 AM,4731930,0.34189,262.93,105.145,65.344,17996.9,0.112,16344.3,1.10031,82.761,0.65457,0.20117,0.06451
10-07-01 AM,2019_6_15,11-44-09 AM,4968690,0.31786,275.543,106.832,46.608,18032.3,0.113,13108.6,1.37612,122.788,0.63739,0.18579,0.05976
